X coord (mm),Y coord (mm)
10.5013,4.06929
3.02756,3.1054
5.42932,2.04931
6.0878,2.39045
9.25966,1.16541
10.9834,1.00006
13.1925,1.00334
15.0591,1.35765
3.02756,3.1054
5.05345,3.74019
6.0878,2.39045
9.09634,2.97174
11.0968,2.96557
13.064,3.04615
15.0504,3.03688
3.1571,4.24021
5.27011,4.37452
6.04516,5.61778
9.11567,5.38326
11.0104,4.9976
12.8759,4.98258
14.9661,5.04611
3.01769,7.67918
5.11895,6.95382
7.106,6.94454
8.93798,7.06322
11.0199,6.99411
13.0214,7.0404
15.0005,7.02141
3.0461,8.92137
5.18736,8.96416
6.9958,8.84843
8.98444,9.14002
10.8678,9.03867
12.961,9.04595
14.9951,9.00896
2.65121,10.0622
5.14667,10.0581
6.72045,10.1702
9.40448,10.7093
10.8674,10.6276
12.93,10.3896
15.0261,9.92456
